istilah,pengertian,undang_undang,uu,url,status
Dana Kampanye Peserta Pemilu,"Dana Kampanye Peserta Pemilu yang selanjutnya disebut Dana Kampanye adalah sejumlah biaya berupa uang, barang, dan jasa yang digunakan Peserta Pemilu untuk membiayai kegiatan Kampanye",Peraturan Komisi Pemilihan Umum Nomor 18 Tahun 2023,Dana Kampanye Pemilihan Umum,https://paralegal.id/pengertian/dana-kampanye-peserta-pemilu/,OK
Dana Kebajikan,Dana Kebajikan adalah sumbangan keagamaan yang wajib ditunaikan oleh umat Khonghucu yang mampu sebagai salah satu bentuk pengamalan ajaran agama Khonghucu.,Peraturan Menteri Agama Nomor 5 Tahun 2023,Pengelolaan Dana Kebajikan,https://paralegal.id/pengertian/dana-kebajikan/,OK
Dana Kehormatan Veteran Republik Indonesia,Dana Kehormatan Veteran Republik Indonesia yang selanjutnya disebut Dana Kehormatan adalah sejumlah uang yang diberikan setiap bulan yang merupakan penghargaan dan penghormatan dari negara,Undang-Undang Nomor 15 Tahun 2012,Veteran Republik Indonesia,https://paralegal.id/pengertian/dana-kehormatan-veteran-republik-indonesia/,OK
Barang Kebutuhan Pokok,Barang Kebutuhan Pokok adalah Barang yang menyangkut hajat hidup orang banyak dengan skala pemenuhan kebutuhan yang tinggi serta menjadi faktor pendukung kesejahteraan masyarakat.,Peraturan Pemerintah Nomor 29 Tahun 2021,Penyelenggaraan Bidang Perdagangan,https://paralegal.id/pengertian/barang-kebutuhan-pokok/,OK
Infak,Infak adalah harta yang dikeluarkan oleh seseorang atau badan usaha di luar zakat untuk kemaslahatan umum,Undang-Undang Nomor 23 Tahun 2011,Pengelolaan Zakat,https://paralegal.id/pengertian/infak/,OK
Tembakau Kunyah (Chewing Tobacco),"Tembakau Kunyah (Chewing Tobacco) adalah hasil pengolahan tembakau lainnya yang berasal dari pengolahan daun tembakau yang dibuat dan dibentuk sedemikian rupa sesuai dengan perkembangan teknologi dan selera konsumen tanpa mengindahkan bahan pengganti atau bahan pembantu dalam pembuatannya, yang dikonsumsi dengan cara dikunyah.",Peraturan Menteri Keuangan Nomor 192/PMK.010/2022,Perubahan atas Peraturan Menteri Keuangan Nomor 193/PMK.010/2021 tentang Tarif Cukai Hasil Tembakau Berupa Rokok Elektrik dan Hasil Pengolahan Tembakau Lainnya,https://paralegal.id/pengertian/tembakau-kunyah-chewing-tobacco/,OK
Relawan Sosial,"Relawan Sosial adalah seseorang dan/atau kelompok masyarakat, baik yang berlatar belakang pekerjaan sosial maupun bukan berlatar belakang pekerjaan sosial, tetapi melaksanakan kegiatan penyelenggaraan di bidang sosial bukan di instansi sosial pemerintah atas kehendak sendiri dengan atau tanpa imbalan",Undang-Undang Nomor 11 Tahun 2009,Kesejahteraan Sosial,https://paralegal.id/pengertian/relawan-sosial/,OK
Pendampingan Desa,"Pendampingan Desa adalah upaya meningkatkan kapasitas, efektivitas, dan akuntabilitas pemerintahan Desa, pembangunan Desa, pembentukan dan pengembangan badan usaha milik Desa, dan/atau badan usaha milik bersama, peningkatan sinergitas program dan kegiatan Desa, serta kerja sama antar Desa untuk mendukung pencapaian SDGs Desa.",Peraturan Menteri Desa dan Pembangunan Daerah Tertinggal Nomor 3 Tahun 2025,Pedoman Umum Pendampingan Masyarakat Desa,https://paralegal.id/pengertian/pendampingan-desa/,OK
Dana Keistimewaan Daerah Istimewa Yoryakarta,Dana Keistimewaan Daerah Istimewa Yoryakarta yang selanjutnya disebut Dana Keistimewaan adalah bagian dari TKD yang dialokasikan untuk mendukung urusan keistimewaan Daerah Istimewa Yoryakarta sebagaimana ditetapkan dalam Undang-Undang mengenai keistimewaan Yoryakarta.,Undang-Undang Nomor 1 Tahun 2022,Hubungan Keuangan antara Pemerintah Pusat dan Pemerintahan Daerah,https://paralegal.id/pengertian/dana-keistimewaan-daerah-istimewa-yoryakarta/,OK
Dana Kerohiman,Dana Kerohiman adalah dana santunan yang diberikan kepada Pihak yang Berhak Menerima Bantuan Dana Kerohiman.,Peraturan Presiden Nomor 52 Tahun 2022,Penanganan Dampak Sosial Kemasyarakatan atas Tanah yang Diidentifikasi Sebagai Tanah Musnah dalam Rangka Pembangunan untuk Kepentingan Umum,https://paralegal.id/pengertian/dana-kerohiman/,OK
Dana Kompensasi,Dana Kompensasi adalah dana yang digunakan untuk membayar ganti rugi kepada Nasabah yang bukan Anggota Bursa Berjangka karena cedera janji dan/atau kesalahan yang dilakukan oleh Anggota Bursa Berjangka dalam kedudukannya sebagai Pialang Berjangka,Undang-Undang Nomor 10 Tahun 2011,Perubahan atas Undang-Undang Nomor 32 Tahun 1997 tentang Perdagangan Berjangka Komoditi,https://paralegal.id/pengertian/dana-kompensasi/,OK
Dana Kompensasi Harga Jual Eceran Bahan Bakar Minyak,Dana Kompensasi Harga Jual Eceran Bahan Bakar Minyak yang selanjutnya disebut Dana Kompensasi BBM adalah Dana Kompensasi yang dibayarkan oleh Pemerintah kepada Badan Usaha atas kekurangan penerimaan Badan Usaha akibat selisih antara harga jual eceran jenis bahan bakar minyak tertentu dan/atau jenis bahan bakar minyak khusus penugasan berdasarkan perhitungan formula dan harga jual eceran jenis bahan bakar minyak tertentu dan/atau jenis bahan bakar minyak khusus penugasan tidak berdasarkan perhitungan formula yang ditetapkan oleh Menteri Energi dan Sumber Daya Mineral sesuai dengan ketentuan peraturan perundang-undangan.,Peraturan Menteri Keuangan Nomor 159/PMK.02/2022,"Perubahan atas Peraturan Menteri Keuangan Nomor 159/PMK.02/2021 tentang Tata Cara Penyediaan, Pencairan, dan Pertanggungjawaban Dana Kompensasi atas Kekurangan Penerimaan Badan Usaha Akibat Kebijakan Penetapan Harga Jual Eceran Bahan Bakar Minyak dan Tarif Tenaga Listrik",https://paralegal.id/pengertian/dana-kompensasi-harga-jual-eceran-bahan-bakar-minyak/,OK
